1	招标人	O
2	:	O
3	漳州市	I-PER
4	交通	I-PER
5	建设	I-PER
6	投资	I-PER
7	开发	I-PER
8	有限公司	I-PER

1	华油	O
2	惠博普	O
3	科技股份	O
4	有限公司	O
5	(	O
6	以下	O
7	简称	O
8	“	O
9	公司	O
10	”	O
11	、	O
12	“	O
13	惠博普	O
14	”	O
15	)	O
16	于	O
17	2017	O
18	年	O
19	8	O
20	月	O
21	25	O
22	日	O
23	披露	O
24	了	O
25	《	O
26	关于	O
27	重大	O
28	经营	O
29	合同	O
30	中	O
31	标的	O
32	公告	O
33	》	O
34	(	O
35	公告	O
36	编号	O
37	:	O
38	HBP2017	O
39	-	O
40	057	O
41	)	O
42	,	O
43	公司	O
44	收到	O
45	PETRONASCarigaliIraqHoldingB	I-PER
46	.	I-PER
47	V	I-PER
48	.	I-PER
49	(	O
50	以下	O
51	简称	O
52	“	O
53	PCIHBV	O
54	”	O
55	)	O
56	发来	O
57	的	O
58	《	O
59	授标	O
60	函	O
61	》	O
62	,	O
63	确认	O
64	公司	O
65	为	O
66	伊拉克	O
67	Garraf	O
68	油田	O
69	三期	O
70	原	O
71	油井	O
72	间	O
73	集输	O
74	EPCC	O
75	项目	O
76	的	O
77	中标	O
78	单位	O

1	(	O
2	1	O
3	)	O
4	交易	O
5	对方	O
6	:	O
7	PETRONASCarigaliIraqHoldingB	I-PER
8	.	I-PER
9	V	I-PER
10	.	I-PER

1	发包方	O
2	:	O
3	PETRONASCarigaliIraqHoldingB	I-PER
4	.	I-PER
5	V	I-PER
6	.	I-PER

1	北京	O
2	捷成	O
3	世纪	O
4	科技股份	O
5	有限公司	O
6	(	O
7	以下	O
8	简称	O
9	“	O
10	公司	O
11	”	O
12	)	O
13	分别	O
14	于	O
15	2013	O
16	年	O
17	8	O
18	月	O
19	7	O
20	日	O
21	、	O
22	2013	O
23	年	O
24	10	O
25	月	O
26	24	O
27	日	O
28	发布	O
29	两份	O
30	重大	O
31	合同	O
32	公告	O
33	(	O
34	公告	O
35	编号	O
36	:	O
37	2013	O
38	-	O
39	057	O
40	、	O
41	2013	O
42	-	O
43	075	O
44	)	O
45	,	O
46	披露	O
47	公司	O
48	与	O
49	江西省	I-PER
50	广播电视	I-PER
51	网络	I-PER
52	传输	I-PER
53	有限公司	I-PER
54	(	O
55	以下	O
56	简称	O
57	“	O
58	江西	O
59	广电	O
60	网络	O
61	”	O
62	)	O
63	签署	O
64	了	O
65	《	O
66	江西	O
67	有线	O
68	高清	O
69	电视	O
70	和	O
71	网络	O
72	双向	O
73	化	O
74	改造	O
75	项目	O
76	战略	O
77	合作	O
78	框架	O
79	协议	O
80	》	O
81	,	O
82	与	O
83	广西	O
84	广播电视	O
85	信息网络	O
86	股份	O
87	有限公司	O
88	(	O
89	以下	O
90	简称	O
91	“	O
92	广西	O
93	广电	O
94	网络	O
95	”	O
96	)	O
97	签署	O
98	了	O
99	《	O
100	广西	O
101	有线	O
102	高清	O
103	互动	O
104	数字电视	O
105	及	O
106	网络	O
107	双向	O
108	化	O
109	改造	O
110	项目	O
111	战略	O
112	合作	O
113	框架	O
114	协议	O
115	》	O
116	(	O
117	以下	O
118	简称	O
119	“	O
120	两份	O
121	框架	O
122	协议	O
123	”	O
124	)	O

1	北京	O
2	碧	O
3	水源	O
4	科技股份	O
5	有限公司	O
6	(	O
7	以下	O
8	简称	O
9	“	O
10	公司	O
11	”	O
12	)	O
13	于	O
14	2014	O
15	年	O
16	8	O
17	月	O
18	25	O
19	日	O
20	在	O
21	证监会	O
22	创业板	O
23	指定	O
24	信息	O
25	披露	O
26	媒体	O
27	上	O
28	披露	O
29	了	O
30	《	O
31	关于	O
32	中标	O
33	候选人	O
34	公示	O
35	的	O
36	提示性	O
37	公告	O
38	》	O
39	,	O
40	提示	O
41	公司	O
42	为	O
43	太原市	I-PER
44	排水	I-PER
45	管理处	I-PER
46	晋阳	O
47	污水	O
48	厂	O
49	一期	O
50	建设项目	O
51	EPC	O
52	总	O
53	承包	O
54	项目	O
55	的	O
56	中标	O
57	候选人	O

1	2014	O
2	年	O
3	9	O
4	月	O
5	15	O
6	日	O
7	,	O
8	公司	O
9	收到	O
10	招标人	O
11	太原市	I-PER
12	排水	I-PER
13	管理处	I-PER
14	及	O
15	招标	O
16	代理	O
17	机构	O
18	中招	O
19	康泰	O
20	项目管理	O
21	有限公司	O
22	发来	O
23	的	O
24	《	O
25	中标	O
26	通知书	O
27	》	O
28	,	O
29	确定	O
30	公司	O
31	为	O
32	“	O
33	晋阳	O
34	污水	O
35	厂	O
36	一期	O
37	建设项目	O
38	EPC	O
39	总	O
40	承包	O
41	”	O
42	项目	O
43	的	O
44	中标人	O

1	招标人	O
2	:	O
3	太原市	I-PER
4	排水	I-PER
5	管理处	I-PER

1	深圳	O
2	海联	O
3	讯	O
4	科技股份	O
5	有限公司	O
6	(	O
7	以下	O
8	简称	O
9	“	O
10	公司	O
11	”	O
12	)	O
13	于	O
14	2013	O
15	年	O
16	5	O
17	月	O
18	13	O
19	日	O
20	发布	O
21	了	O
22	《	O
23	重大	O
24	合同	O
25	中标	O
26	提示性	O
27	公告	O
28	》	O
29	(	O
30	2013	O
31	-	O
32	028	O
33	号	O
34	)	O
35	,	O
36	根据	O
37	国家电网	I-PER
38	公司	I-PER
39	电子商务	O
40	平台	O
41	网	O
42	(	O
43	https	O
44	:	O
47	ecp	O
48	.	O
49	sgcc	O
50	.	O
51	com	O
52	.	O
53	cn	O
54	)	O
55	发布	O
56	的	O
57	国家电网	O
58	公司	O
59	输变电	O
60	项目	O
61	2013	O
62	年	O
63	第二批	O
64	货物	O
65	集中	O
66	招标	O
67	-	O
68	-	O
69	通信	O
70	设备	O
71	集成	O
72	及	O
73	新建	O
74	通信网	O
75	设备	O
76	中标	O
77	公告	O
78	,	O
79	公告	O
80	公司	O
81	中标	O
82	国家电网	O
83	公司	O
84	输变电	O
85	项目	O
86	2013	O
87	年	O
88	第二批	O
89	货物	O
90	集中	O
91	招标	O
92	-	O
93	-	O
94	通信	O
95	设备	O
96	集成	O
97	及	O
98	新建	O
99	通信网	O
100	设备	O
101	项目	O
102	包	O
103	1	O

1	根据	O
2	国家电网	I-PER
3	公司	I-PER
4	招标	O
5	管理中心	O
6	发来	O
7	的	O
8	中标	O
9	通知书	O
10	,	O
11	确认	O
12	公司	O
13	为	O
14	国家电网	O
15	公司	O
16	输变电	O
17	项目	O
18	2013	O
19	年	O
20	第二批	O
21	货物	O
22	集中	O
23	招标	O
24	-	O
25	-	O
26	通信	O
27	设备	O
28	集成	O
29	及	O
30	新建	O
31	通信网	O
32	设备	O
33	项目	O
34	包	O
35	1	O

1	国家电网	B-PER
2	公司	I-PER

1	国家电网	B-PER
2	公司	I-PER
3	输变电	O
4	项目	O
5	2013	O
6	年	O
7	第二批	O
8	货物	O
9	集中	O
10	招标	O
11	-	O
12	-	O
13	通信	O
14	设备	O
15	集成	O
16	及	O
17	新建	O
18	通信网	O
19	设备	O
20	包	O
21	1	O

1	2008	O
2	年	O
3	5	O
4	月	O
5	12	O
6	日	O
7	,	O
8	本	O
9	公司	O
10	正式	O
11	收到	O
12	经	O
13	国家	I-PER
14	发展	I-PER
15	改革	I-PER
16	委员会	I-PER
17	和	O
18	国家财政部	O
19	确认	O
20	的	O
21	“	O
22	高效	O
23	照明	O
24	产品	O
25	推广	O
26	项目	O
27	中标	O
28	协议书	O
29	”	O
30	,	O
31	并于	O
32	2008	O
33	年	O
34	5	O
35	月	O
36	13	O
37	日	O
38	收到	O
39	“	O
40	国家	O
41	发展	O
42	改革	O
43	委	O
44	、	O
45	财政部	O
46	关于	O
47	下达	O
48	财政补贴	O
49	高效	O
50	照明	O
51	产品	O
52	推广	O
53	任务	O
54	(	O
55	第一批	O
56	)	O
57	的	O
58	通知	O
59	”	O

1	珠海	O
2	汇金	O
3	科技股份	O
4	有限公司	O
5	(	O
6	以下	O
7	简称	O
8	“	O
9	公司	O
10	”	O
11	)	O
12	于	O
13	2017	O
14	年	O
15	6	O
16	月	O
17	1	O
18	日	O
19	收到	O
20	受	O
21	中国光大银行	I-PER
22	委托	O
23	实施	O
24	公开招标	O
25	的	O
26	中招	O
27	国际	O
28	招标	O
29	有限公司	O
30	下发	O
31	的	O
32	《	O
33	中标	O
34	通知书	O
35	》	O
36	(	O
37	编号	O
38	:	O
39	TC17091ED	O
40	-	O
41	ZB	O
42	-	O
43	01	O
44	)	O
45	,	O
46	在	O
47	中国光大银行	O
48	动态	O
49	密码锁	O
50	选型	O
51	入围	O
52	项目	O
53	(	O
54	招标	O
55	编号	O
56	:	O
57	TC17091ED	O
58	)	O
59	的	O
60	招标	O
61	中	O
62	,	O
63	经过	O
64	评标	O
65	委员会	O
66	评审	O
67	,	O
68	确定	O
69	公司	O
70	中标	O

1	公司	O
2	将	O
3	尽快	O
4	与	O
5	中国光大银行	I-PER
6	签订	O
7	正式	O
8	合同	O
9	,	O
10	项目	O
11	具体内容	O
12	以	O
13	最终	O
14	签署	O
15	的	O
16	合同	O
17	为准	O

1	近日	O
2	,	O
3	洛阳	O
4	隆华	O
5	传热	O
6	节能	O
7	股份	O
