Label	Events	ID	Date
35	"WWII:Admiral ?_mile Muselier seizes the archipelago of Saint Pierre and Miquelon, the first part of France to be liberated by the Free French Forces."	3999	1941 December 25
35	WWII: Winston Churchill becomes the first British Prime Minister to address a joint session of the United States Congress.	4000	1941 December 26
22	"WWII:The Declaration by United Nations is signed by China, the United Kingdom, the United States, the Soviet Union and 22 other nations, in which they agree ""not to make any separate peace with the Axis powers""."	4001	1942 January 1
1	WWII:United States and Philippines troops fight the Battle of Bataan against Japanese forces.	4002	1942 January 1
41	"WWII:Japanese warplanes bomb Manila, Philippines."	4003	1942 January 2
41	"WWII:Activation of the United States Eighth Air Force in Savannah, Georgia."	4004	1942 January 2
1	"WWII:Operation Typhoon, the German attempt to take Moscow, ends in failure."	4005	1942 January 7
1	WWII:The siege of the Bataan Peninsula begins.	4006	1942 January 7
1	WWII:Dutch East Indies campaign: Japan declares war on the Netherlands and invades the Dutch East Indies.	4007	1942 January 11
1	"WWII:Malayan Campaign: The Japanese capture Kuala Lumpur, the capital of the Federated Malay States."	4008	1942 January 11
41	Heinkel test pilot Helmut Schenk becomes the first person to escape from a stricken aircraft with an ejection seat.	4009	1942 January 13
27	"Henry Ford patents a plastic automobile, which is 30% lighter than a regular car."	4010	1942 January 13
19	"Sikorsky R-4 first flies, in the United States; it will become the first mass-produced helicopter."	4011	1942 January 14
20	American film actress Carole Lombard and her mother are among all 22 aboard TWA Flight 3 killed when the Douglas DC-3 plane crashes into Potosi Mountain near Las Vegas while she is returning from a tour to promote the sale of war bonds.	4012	1942 January 16
1	WWII:Japanese forces invade Burma.	4013	1942 January 19
42	WWII:Establishment of Commands of the United States Eighth Air Force: VIII Bomber Command initially at Langley Field in Virginia and VIII Fighter Command at Selfridge Field in Michigan.	4014	1942 January 19
33	"The Holocaust: Nazis at the Wannsee Conference in Berlin decide that the ""Final Solution (Endl?_sung) to the Jewish problem"" is relocation, and later extermination."	4015	1942 January 20
41	WWII: Erwin Rommel launches his new offensive in Cyrenaica.	4016	1942 January 21
1	WWII: The Battle of Rabaul begins.	4017	1942 January 23
1	WWII: Thailand declares war on the United States and United Kingdom.	4018	1942 January 25
41	"WWII: The first American forces arrive in Europe, landing in Northern Ireland."	4019	1942 January 26
26	C. S. Lewis's The Screwtape Letters first published in book format in England.	4020	1942 February
41	WWII: The Command staff of the Eighth Air Force reaches England.	4021	1942 February 1
35	"Mao Zedong makes a speech on ""Reform in Learning, the Party and Literature."" This starts Yan'an Rectification Movement."	4022	1942 February 1
41	WWII: Rommel suspends his offensive in Cyrenaica.	4023	1942 February 3
42	"United States Maritime Commission fleet operations transferred to the War Shipping Administration (lasting until September 1, 1946)."	4024	1942 February 7
35	Ant?_nio ??scar Carmona is elected president of Portugal.	4025	1942 February 8
33	WWII: Top United States military leaders hold their first formal meeting to discuss American military strategy in the war.	4026	1942 February 8
15	Daylight saving time goes into effect in the United States.	4027	1942 February 8
5	The ocean liner SS Normandie catches fire while being converted into the troopship USS Lafayette (AP-53) for WWII at pier 88 in New York City: she capsizes early the following morning.	4028	1942 February 9
41	Operation Cerberus: A flotilla of Kriegsmarine ships dash from Brest through the English Channel to northern ports; the British fail to sink any of them.	4029	1942 February 11
1	WWII: Singapore surrenders to Japanese forces.	4030	1942 February 15
20	WWII: More than 200 American sailors die in Newfoundland when the USS Truxtun runs aground near Chambers Cove and the USS Pollux runs aground at Lawn Point.	4031	1942 February 18
41	"WWII:Japanese warplanes bomb Darwin, Australia."	4032	1942 February 19
41	"WWII:A returning Japanese fighter plane crashes on Melville Island (Australia) and its pilot, Hajime Toyoshima, becomes the first Japanese captured on Australian soil when indigenous resident Matthias Ulungura takes him prisoner."	4033	1942 February 19
18	"WWII:United States President Franklin D. Roosevelt signs Executive Order 9066 allowing the United States military to define areas as exclusionary zones. These zones affect the Japanese on the West Coast, and Germans and Italians primarily on the East Coast."	4034	1942 February 19
41	WWII: Battle of Sittang Bridge ??? British forces retreat to the Sittaung River.	4035	1942 February 19???23
41	Lieutenant Edward O'Hare becomes America's last U.S. Navy WWII flying ace.	4036	1942 February 20
35	"General George Marshall transmits a direct order to General MacArthur in President Roosevelt's name, ordering MacArthur himself to turn over command of the Philippines to a subordinate and report to Australia to assume command of the large American force being built up there. The orders are worded to allow MacArthur to choose the exact moment of his departure; for various reasons, he will not leave until March 11."	4037	1942 February 22
41	"The Japanese submarine I-17 fires 17 high-explosive shells toward an oil refinery near Santa Barbara, California, causing little damage."	4038	1942 February 23
3	"Struma disaster: MV Struma, carrying Jewish refugees from Axis-allied Romania to British-administered Palestine, is torpedoed and sunk by the Soviet submarine Shch-213, killing about 791 men, women and children, with only one survivor."	4039	1942 February 24
26	Propaganda: The Voice of America begins broadcasting.	4040	1942 February 24
41	"Battle of Los Angeles: Over 1,400 AA shells are fired at an unidentified, slow-moving object in the skies over Los Angeles. The appearance of the object triggers an immediate wartime blackout over most of Southern California, with thousands of air raid wardens being deployed throughout the city. In total there are 6 deaths. Despite the several-hour barrage no planes are downed."	4041	1942 February 25
20	"The worst coal dust explosion to date, in Honkeiko, China, claims 1,549 lives."	4042	1942 February 26
26	The 14th Academy Awards ceremony is held in Los Angeles; How Green Was My Valley wins Best Picture.	4043	1942 February 26
29	"Construction begins on the Badger Army Ammunition Plant, the largest in the United States during WWII."	4044	1942 March
41	Yugoslav Partisans operating in Nazi-occupied Serbia assassinate ??or??e Kosmajac in Belgrade.	4045	1942 March 6
42	"WWII: Executive order 9082 (February 28, 1942) comes into effect reorganizing the United States Army into three major commands: Army Ground Forces, Army Air Forces, and Services of Supply, later redesignated Army Service Forces, with Henry H. Arnold as Commanding General of the United States Army Air Forces."	4046	1942 March 9
35	"WWII: Douglas MacArthur's escape from the Philippines ??? U.S. General Douglas MacArthur, his family and key members of his staff are evacuated by PT boat, under cover of evening darkness, from Corregidor in the Philippines. Command of U.S. forces in the Philippines passes to Major General Jonathan M. Wainwright."	4047	1942 March 11
3	"WWII: The D?_nam?_nde Action takes place. 1,900 central European Jews are shot dead north east of Riga, 1,840 are killed on the 26th."	4048	1942 March 15
1	WWII: New Zealand and Australia declare war on Thailand.	4049	1942 March 16
3	"The Holocaust: Operation Reinhard ??? The Nazi German Be???_ec extermination camp opens in occupied Poland about 1 km south of the railroad station at Be???_ec in the Lublin district of the General Government. At least 434,508 people are killed here up to December 1942."	4050	1942 March 17
42	"Franklin D. Roosevelt, President of the United States, signs Executive Order 9102, creating the War Relocation Authority (WRA), which becomes responsible for the internment of Americans of Japanese and, to a lesser extent, German and Italian descent, many of them legal citizens."	4051	1942 March 18
35	"WWII: After being forced to flee the Philippines, U.S. General Douglas MacArthur announces (in Terowie, South Australia), ""I came through and I shall return."""	4052	1942 March 20
41	WWII: Second Battle of Sirte in the Mediterranean Sea ??? Escorting warships of a British convoy to Malta ward off a much more powerful Regia Marina (Italian Navy) squadron north of the Gulf of Sirte.	4053	1942 March 22
3	"WWII: The Germans burn down the Ukrainian village of Yelino (Koriukivka Raion), killing 296 civilians."	4054	1942 March 23
39	"The evacuation of Polish nationals from the Soviet Union begins. It is conducted in two phases: until 5 April; and between 10 and 30 August 1942, by sea from Krasnovodsk to Pahlavi (Anzali), and (to a lesser extent) overland from Ashkabad to Mashhad. In all, 115,000 people are evacuated, 37,000 of them civilians, 18,000 children (7% of the number of Polish citizens originally exiled to the Soviet Union)."	4055	1942 March 24
41	WWII:St Nazaire Raid (Operation Chariot) ??? British Commandos raid Saint-Nazaire on the coast of Western France to put its dockyard facilities out of action.	4056	1942 March 28
41	"WWII:Bombing of L?_beck in World War II: St. Mary's Church, L?_beck is destroyed by an allied bombing raid."	4057	1942 March 28
3	"The Holocaust: the Nazi German extermination camp Sobib?_r opens in occupied Poland on the outskirts of the town of Sobib?_r. Between April 1942 and October 1943, at least 160,000 people are killed here."	4058	1942 April
