"Label","ID","Date","Events"
16,0,"1900 January 2","U.S. Secretary of State John Hay announces the Open Door Policy, to promote American trade with China."
19,1,"1900 January 5","Dr. Henry A. Rowland of Johns Hopkins University announces a theory about the cause of the Earth's magnetism."
41,2,"1900 January 6","Second Boer War: Boers attempt to end the Siege of Ladysmith, which leads to the Battle of Platrand."
41,3,"1900 January 9","S.S. Lazio, an Italian professional sports club, is founded in Rome."
41,4,"1900 January 14","Puccini's opera Tosca premieres in Rome, Italy."
11,5,"1900 January 14","The U.S. Senate accepts the British-German Treaty of 1899, in which the United Kingdom renounces its claims to the American Samoa portion of the Samoan Islands."
41,6,"1900 January 27","Boxer Rebellion: Foreign diplomats in Peking, Qing Dynasty China, demand that the Boxer rebels be disciplined."
22,7,"1900 February 5","The United Kingdom and the United States sign a treaty for the building of a Central American shipping canal, across Central America in Nicaragua."
32,8,"1900 February 6","The International Arbitration Court at The Hague is created, when the Netherlands' Senate ratifies an 1899 peace conference decree."
41,9,"1900 February 8","Second Boer War: British troops are defeated by the Boers at Ladysmith."
1,10,"1900 February 14","Second Boer War ‰Û¡Ì_ÌÕ Battle of Paardeberg: 20,000 British troops invade the Orange Free State."
1,11,"1900 February 15","Second Boer War: The Siege of Kimberley is lifted."
1,12,"1900 February 17","Second Boer War: Battle of Paardeberg: British troops defeat the Boers."
40,13,"1900 February 27","FC Bayern, Germany's most successful football club, is founded in Munich."
1,14,"1900 February 27","Second Boer War: British military leaders accept the unconditional notice of surrender, from Boer General Piet CronjÌÎå©."
33,15,"1900 February 27","The British Labour Party is officially established, at a meeting in the Congregational Memorial Hall in London."
41,16,"1900 March 5","Two U.S. Navy cruisers are sent to Central America to protect American interests, in a dispute between Nicaragua and Costa Rica."
20,17,"1900 March 6","A coal mine explosion in West Virginia, U.S.A. kills 50 miners."
19,18,"1900 March 14","Botanist Hugo de Vries rediscovers Mendel's Laws of Heredity."
13,19,"1900 March 14","The Gold Standard Act is ratified, placing the United States currency on the gold standard."
19,20,"1900 March 16","British archaeologist Sir Arthur Evans purchases the land on Crete on which the ruins of the Palace of Knossos stand. He begins to unearth some of the palace three days later."
40,21,"1900 March 18","AFC Ajax, a successful football club in Netherlands, is founded in Amsterdam."
37,22,"1900 April 14","The Exposition Universelle, a world's fair, opens in Paris."
20,23,"1900 May 1","Scofield Mine disaster: An explosion of blasting powder in a coal mine in Scofield, Utah kills 200."
37,24,"1900 May 14","The second Modern Olympic Games opens in Paris (as part of the Paris World Exhibition)."
1,25,"1900 May 17","Second Boer War: The British Army relieves the Siege of Mafeking."
41,26,"1900 May 17","Boxer Rebellion: Boxers destroy three villages near Peking, and kill 60 Chinese Christians."
41,27,"1900 May 17","L. Frank Baum's The Wonderful Wizard of Oz is published in Chicago, the first of Baum's Oz books, chronicling the fictional Land of Oz for children."
11,28,"1900 May 18","The United Kingdom proclaims a protectorate over Tonga."
1,29,"1900 May 21","Russia invades Manchuria."
31,30,"1900 May 24","Second Boer War: The British annex the Orange Free State, as the Orange River Colony."
41,31,"1900 May 28","Boxer Rebellion: The Boxers attack Belgians, in the Fengtai railway station."
34,32,"1900 May 29","N'Djamena, the capital city of Chad, is founded as Fort-Lamy, by French commander ÌÎÌ_mile Gentil."
41,33,"1900 June 1","American temperance agitator Carrie Nation begins her crusade to demolish saloons."
1,34,"1900 June 5","Second Boer War: British soldiers take Pretoria."
18,35,"1900 June 14","The Reichstag approves a second law that allows the expansion of the Imperial German Navy"
1,36,"1900 June 17","Boxer Rebellion ‰Û¡Ì_ÌÕ Battle of Dagu Forts: Naval forces of the Eight-Nation Alliance capture the Taku Forts, on the Hai River estuary in China."
41,37,"1900 June 20","Boxer Rebellion: Boxers gather about 20,000 people near Peking, and kill hundreds of European citizens, including the German ambassador."
19,38,"1900 June 25","The Taoist monk Wang Yuanlu discovers the Dunhuang manuscripts in the Mogao Caves of Dunhuang, China, where they have been sealed since the early 11th century."
34,39,"1900 June 27","The London Underground's Central London Railway opens."
19,40,"1900 July 2","The first zeppelin flight is carried out over Lake Constance, near Friedrichshafen, Germany."
19,41,"1900 July 12","German cruise liner SS Deutschland breaks the record for the Blue Riband for the first time, with an average speed of 22.4 knots (41.5 km/h)."
22,42,"1900 July 23-25","The First Pan-African Conference is held in London."
4,43,"1900 September 8","The 1900 Galveston hurricane kills about 6,000‰Û¡Ì_ÌÕ12,000 people."
35,44,"1900 September 12","Admiral Fredrik von Otter becomes Prime Minister of Sweden."
41,45,"1900 September 13","Philippine‰Û¡Ì_ÌÕAmerican War ‰Û¡Ì_ÌÕ Battle of Pulang Lupa: Filipino resistance fighters defeat a detachment of American soldiers."
31,46,"1900 October 9","The Cook Islands become a territory of the United Kingdom."
19,47,"1900 October 19","Max Planck discovers the law of black-body radiation (Planck's law)."
43,48,"1900 November 6","U.S. presidential election, 1900: William McKinley is re-elected president, defeating William Jennings Bryan in a rematch."
19,49,"1900 December 14","Max Planck announces his discovery of the law of black body emission, marking the birth of quantum physics."
35,50,"1900 December 19","Hopetoun Blunder: The first Governor-General of Australia John Hope, 7th Earl of Hopetoun, appoints Sir William Lyne premier of the new state of New South Wales, but he is unable to persuade other colonial politicians to join his government, and is forced to resign."
41,51,"1900 December 27","British human rights activist Emily Hobhouse arrives in Cape Town, South Africa."
31,52,"1901 January 1","The British colonies of New South Wales, Queensland, South Australia, Tasmania, Victoria and Western Australia federate as the Commonwealth of Australia; Edmund Barton becomes the first Prime Minister of Australia."
11,53,"1901 January 1","Nigeria becomes a British protectorate."
41,54,"1901 January 1","Pentecostalism is born, at a prayer meeting at Bethel Bible College in Topeka, Kansas."
41,55,"1901 January 5","Typhoid fever breaks out in a Seattle jail, the first of two typhoid outbreaks in the United States during the year."
41,56,"1901 January 7","Alferd Packer is released from prison, after serving 18 years for cannibalism."
41,57,"1901 January 9","Lord Kitchener reports that Christiaan de Wet has shot one of the ""peace"" envoys, and flogged two more, who had gone to his commando, to ask the Burgher citizens of South Africa to halt fighting."
19,58,"1901 January 10","In the first great Texas gusher, oil is discovered at Spindletop in Beaumont, Texas."
38,59,"1901 January 22","Queen Victoria of the United Kingdom dies at age 81, after more than 63 years on the throne, and her son, the Prince of Wales, formally succeeds her as King Edward VII."
5,60,"1901 January 22","The Grand Opera House in Cincinnati, Ohio is destroyed in a fire."
38,61,"1901 February 2","The funeral of Queen Victoria is held at St George's Chapel, Windsor Castle."
22,62,"1901 February 5","The Hay‰Û¡Ì_ÌÕPauncefote Treaty is signed by the United Kingdom and United States, ceding control of the Panama Canal to the United States."
27,63,"1901 February 5","J. P. Morgan buys mines and steel mills in the United States, marking the first billion dollar business deal."
5,64,"1901 February 5","In Evansville, Indiana, a fire burns through the business district, causing $175,000 of damage."
2,65,"1901 February 11","Anti-Jesuit riots sweep across Spain."
31,66,"1901 February 12","Viceroy of India Lord Curzon creates the new North-West Frontier Province in the north of the Punjab region, bordering Afghanistan."
33,67,"1901 February 14","Edward VII opens his first parliament of the United Kingdom."
33,68,"1901 February 20","The Hawaii Territory Legislature convenes for the first time."
20,69,"1901 February 22","The Pacific Mail Steamship Company's SS City of Rio de Janeiro sinks entering San Francisco Bay, killing 128."
22,70,"1901 February 23","The United Kingdom and Germany agree on the frontier between German East Africa, and the British colony of Nyasaland."
29,71,"1901 February 25","U.S. Steel is incorporated by industrialist J. P. Morgan, as the first billion-dollar corporation."
41,72,"1901 February 26","Chi-hsui and Hsu-cheng-yu, Boxer Rebellion leaders, are executed in Peking."
22,73,"1901 February 26","The Middelburg peace conference fails in South Africa, as Boers continue to demand autonomy."
11,74,"1901 March 1","The United Kingdom, Germany and Japan protest the Sino-Russian agreement on Manchuria."
41,75,"1901 March 1","The 1901 Census of India is taken, the fourth, and first reliable, census of the British Raj."
11,76,"1901 March 2","The United States Congress passes the Platt Amendment, limiting the autonomy of Cuba as a condition for the withdrawal of American troops."
35,77,"1901 March 4","William McKinley is sworn in, for a second term as President of the United States."
2,78,"1901 March 5","Irish nationalist demonstrators are ejected by police from the House of Commons of the United Kingdom, in London."
35,79,"1901 March 6","In Bremen, an assassination attempt is made on Wilhelm II, German Emperor."
11,80,"1901 March 11","The United Kingdom rejects the amended Hay‰Û¡Ì_ÌÕPauncefote Treaty."
41,81,"1901 March 17","A showing of 71 Vincent van Gogh paintings in Paris, 11 years after his death, creates a sensation."
2,82,"1901 March 17","Students riot in Saint Petersburg and Moscow, Russia."
6,83,"1901 March 31","A 7.2 Mw Black Sea earthquake occurs off the northwest coast of Bulgaria, with a maximum intensity of X (Extreme). A destructive tsunami affects the province of Dobrich."
44,84,"1901 March 31","The United Kingdom Census 1901 is taken. The number of people employed in manufacturing is at its highest-ever level."
44,85,"1901 April 25","New York becomes the first U.S. state to require automobile license plates."
5,86,"1901 May 3","The Great Fire of 1901 begins in Jacksonville, Florida."
1,87,"1901 May 5","The Caste War of YucatÌÎÌÅn in Mexico officially ends, although Mayan skirmishers continue sporadic fighting for another decade."
33,88,"1901 May 9","The first Australian Parliament opens in Melbourne."
24,89,"1901 May 17","Panic of 1901: The New York Stock Exchange crashes."
20,90,"1901 May 24","81 miners are killed in an accident at Universal Colliery, Senghenydd in South Wales."
41,91,"1901 May 25","The Club AtlÌÎå©tico River Plate is founded in Argentina."
29,92,"1901 May 27","In New Jersey, the Edison Storage Battery Company is founded."
3,93,"1901 June","Emily Hobhouse reports on the genocide in the 45 British concentration camps for Boer women and children in South Africa in which, over an 18-month period, 26,370 people will die, 24,000 of them children under 16. Exact mortality figures in the 64 concentration camps for black displaced farm workers and their families are not known, but they are even worse."
35,94,"1901 June 2","Katsura Tar becomes Prime Minister of Japan."
11,95,"1901 June 12","Cuba becomes a United States protectorate."
44,96,"1901 July 1","The first United Kingdom Fingerprint Bureau is established at Scotland Yard, the Metropolitan Police headquarters in London, by Edward Henry."
40,97,"1901 July 1","The Bureau of Chemistry is established, within the United States Department of Agriculture."
34,98,"1901 July 4","The 1,282 foot (390 m) covered bridge crossing the Saint John River at Hartland, New Brunswick, Canada opens. It is the longest covered bridge in the world."
35,99,"1901 July 4","William Howard Taft becomes Governor-General of the Philippines."
19,100,"1901 July 10","The world's first passenger-carrying trolleybus in regular service operates on the Biela Valley Trolleybus route at Koeninggstein, Germany."
41,101,"1901 August 5","Peter O'Connor sets the first International Association of Athletics Federations recognised long jump world record, of 24 ft 11Ì´_ins. The record will stand for 20 years."
41,102,"1901 August 6","Discovery Expedition: Robert Falcon Scott sets sail on the RRS Discovery, to explore the Ross Sea in Antarctica."
19,103,"1901 August 14","The first claimed powered flight is made, by German-born American aviator Gustave Whitehead, in his Number 21, in Connecticut."
32,104,"1901 August 21","The International Secretariat of National Trade Union Centres is founded in Copenhagen."
40,105,"1901 August 28","Silliman University is founded in the Philippines, the first American private school in the country."
35,106,"1901 September 2","U.S. Vice President Theodore Roosevelt utters the famous phrase, ""Speak softly and carry a big stick"", at the Minnesota State Fair."
40,107,"1901 September 5","The National Association of Professional Baseball Leagues (later renamed Minor League Baseball), is formed in Chicago."
23,108,"1901 September 6","William McKinley assassination: American anarchist Leon Czolgosz shoots U.S. President William McKinley at the Pan-American Exposition in Buffalo, New York. McKinley dies 8 days later."
2,109,"1901 September 7","The Boxer Rebellion in China officially ends, with the signing of the Boxer Protocol."
35,110,"1901 September 14","Vice President Theodore Roosevelt becomes the 26th President of the United States, upon President William McKinley's death. Roosevelt is sworn in that afternoon."
23,111,"1901 September 26","The body of U.S. President Abraham Lincoln is exhumed and reinterred, in concrete several feet thick."
18,112,"1901 October 2","The British Royal Navy's first submarine, Holland 1, is launched at Barrow-in-Furness."
41,113,"1901 October 4","The American yacht Columbia defeats the British Shamrock, in the America's Cup yachting race."
35,114,"1901 October 16","U.S. President Theodore Roosevelt invites African American leader Booker T. Washington to the White House. The American South reacts angrily to the visit, and racial violence increases in the region."
41,115,"1901 October 23","Yale University celebrates its bicentennial."
41,116,"1901 October 24","Michigan schoolteacher Annie Edson Taylor goes over Niagara Falls in a barrel, and survives."
35,117,"1901 October 29","Leon Czolgosz is executed, for assassinating William McKinley in Buffalo, New York on September 6."
41,118,"1901 October 29","In Amherst, New York, nurse Jane Toppan is arrested for murdering the Davis family of Boston, with an overdose of morphine."
41,119,"1901 November 1","Sigma Phi Epsilon is founded in Richmond, Virginia."
38,120,"1901 November 9","The Prince George, Duke of Cornwall (later George V) becomes Prince of Wales and Earl of Chester."
20,121,"1901 November 13","The 1901 Caister Lifeboat Disaster occurs."
41,122,"1901 November 15","The Alpha Sigma Alpha Fraternity is founded at Longwood University in Farmville, Virginia."
19,123,"1901 November 25","Auguste Deter is first examined by German psychiatrist Dr. Alois Alzheimer, leading to a diagnosis of the condition that will carry Alzheimer's name."
35,124,"1901 December 3","U.S. President Theodore Roosevelt delivers a 20,000-word speech to the House of Representatives, asking Congress to curb the power of trusts ""within reasonable limits""."
27,125,"1901 December 10","The first Nobel Prize ceremony is held in Stockholm, on the fifth anniversary of Alfred Nobel's death."
19,126,"1901 December 12","Guglielmo Marconi receives the first trans-Atlantic radio signal, sent from Poldhu, England, to Newfoundland; it is the letter ""S"" in Morse code."
34,127,"1901 December 20","The final spike is driven into the Mombasa‰Û¡Ì_ÌÕVictoria‰Û¡Ì_ÌÕUganda Railway, in what is now Kisumu, Kenya."
35,128,"1901 December 22","Charles Aked, a Baptist minister in Liverpool, says about the war in South Africa: ""Great Britain cannot win the battles without resorting to the last despicable cowardice of the most loathsome cur on earth ‰Û¡Ì_ÌÒ the act of striking a brave man's heart through his wife's honour and his child's life. The cowardly war has been conducted by methods of barbarism... the concentration camps have been Murder Camps."" A crowd follows him home and breaks the windows of his house."
41,129,"1902 January 1","The first college football bowl game, the Rose Bowl between Michigan and Stanford, is held in Pasadena, California."
44,130,"1902 January 1","The Nurses Registration Act 1901 comes into effect in New Zealand, making it the first country in the world to require state registration of nurses. On January 10, Ellen Dougherty becomes the world's first registered nurse."
20,131,"1902 January 8","A train collision in the New York Central Railroad's Park Avenue Tunnel kills 17, injures 38, and leads to increased demand for electric trains, and the banning of Steam locomotives in New York City."
41,132,"1902 January 12","The Uddevalla Suffrage Association is officially dissolved."
4,133,"1902 January 23","A snowstorm at Mount Hakkoda, northern Honshu, Japan, kills 199 during a military training exercise."
5,134,"1902 February 9","Fire levels 26 city blocks of Jersey City, New Jersey."
2,135,"1902 February 11","Police and universal suffrage demonstrators are involved in a physical altercation in Brussels, Belgium."
34,136,"1902 February 15","The Berlin U-Bahn underground is opened."
35,137,"1902 February 18","U.S. President Theodore Roosevelt prosecutes the Northern Securities Company, for violation of the Sherman Act."
35,138,"1902 February 27","Australian officers Breaker Morant and Peter Handcock are executed, for the murder of Boer prisoners of war near Louis Trichardt."
40,139,"1902 March 6","Real Madrid C.F. is founded as Madrid Football Club."
1,140,"1902 March 7","Second Boer War ‰Û¡Ì_ÌÕ Battle of Tweebosch: South African Boers win their last battle over the British Army, with the capture of a British general and 200 of his men."
41,141,"1902 March 8","Jean Sibelius's Second Symphony is premiered in Helsinki."
29,142,"1902 April 2","Electric Theatre, the first movie theater in the United States, opens in Los Angeles."
26,143,"1902 April 11","Tenor Enrico Caruso makes the first million-selling recording, for the Gramophone Company in Milan."
27,144,"1902 April 13","A new car speed record of 74 mph (119 km/h) is set in Nice, France, by LÌÎå©on Serpollet."
15,145,"1902 May 5","The Commonwealth Public Service Act creates Australia's Public Service."
7,146,"1902 May 7","In Saint Vincent, La SoufriÌÎåÂre erupts, devastating the northern portion of the island, killing 2,000 people"
7,147,"1902 May 8","In Martinique, Mount PelÌÎå©e erupts, destroying the town of Saint-Pierre and killing over 30,000."
35,148,"1902 May 13","Alfonso XIII of Spain begins his reign."
31,149,"1902 May 20","Cuba gains independence from the United States."
41,150,"1902 May 22","The White Star Liner, SS Ionic, is launched."
41,151,"1902 May 29","Lord Rosebery opens London School of Economics."
2,152,"1902 June 2","The Anthracite Coal Strike begins in the United States."
34,153,"1902 June 15","The New York Central Railroad inaugurates the 20th Century Limited passenger train between Chicago and New York City."
17,154,"1902 June 16","In Australia, female British subjects (with the exception of Asians, Aborigines and Africans) win the vote with the Uniform Franchise Act."
40,155,"1902 June 17","Norwich City Football Club is formed."
35,156,"1902 July 5","Erik Gustaf BostrÌÎå_m returns as Prime Minister of Sweden."
44,157,"1902 July 8","The Reclamation serves within the U.S. Geological Survey."
20,158,"1902 July 10","The Rolling Mill Mine disaster in Johnstown, Pennsylvania kills 112 miners."
35,159,"1902 July 11","Lord Salisbury retires as British prime minister."
35,160,"1902 July 11","The Order of the Garter is conferred on Archduke Franz Ferdinand of Austria."
20,161,"1902 July 14","St Mark's Campanile in Venice collapses."
20,162,"1902 August 1","100 miners die in a pit explosion in Wollongong, Australia."
38,163,"1902 August 9","Edward VII is crowned King of the United Kingdom."
23,164,"1902 August 22","Theodore Roosevelt becomes the first American President to ride in an automobile, when he rides in a Columbia Electric Victoria through Hartford, Connecticut."
41,165,"1902 August 24","A statue of Joan of Arc is unveiled in Saint-Pierre-le-MoÌÎÌötier."
44,166,"1902 October 16","The first Borstal (youth offenders' institution) opens in Borstal, Kent, U.K."
35,167,"1902 November","King Leopold II survives an attack in Brussels."
26,168,"1902 November 15","The Hanoi Exhibition opens in Vietnam."
34,169,"1902 December 10","The first Aswan Dam on the Nile is completed."
29,170,"1902 December 17","Torgovo-Telegrafnue Agenstvo, as predecessor for Russian News Agency TASS, is officially founded in Sankt Petersburg, Russia."
38,171,"1903 January 1","Edward VII is proclaimed Emperor of India."
