E_001,Donald Trump,Presidence of Donald Trump,trump president of us,,
E_002,The Brexit vote,withdrawal of the United Kingdom from the European Union,Britain exit eu,uk leave eu,
E_003,London high-rise fire,fire disaster of London building,Grenfell Tower fire,London fire,grenfell tower burnt
E_004,Qi Lu steps down as Baidu COO,Qi left Buide,Qi Lu resigned,Baidu COO Lu Qi resigns,
E_005,Las Vegas mass shooting,2017 Las Vegas shooting,Vegas Shooting,Las Vegas music festival shooting,massacre in las Vegas
E_006,Sexual misconduct allegations,sexual harassment,sexual assault,accused of assault,
E_007,Hillary Clinton email controversy,Clinton's email scandal,the hillary clinton emails wikileaks,hillary email problem,
E_008,Russiagate,russia investigations,russia Donald Trump's Campaign,,
E_009,Volkswagen emissions scandal,Diesel emissions scandal,VW diesel emission,,
E_010,Tesla car explosion,Tesla on fire,blast of Tesla car,,
E_011,Facebook–Cambridge Analytica data scandal,Facebook data lawsuit,facebook data scandal,Facebook’s Latest Data Scandal,
E_012,The plunge of oil,Oil price slump,huge decrease of oil price,steep fall in crude oil,
E_013,North Korea’s missile tests,north korea nuclear test,North Korea's nuclear missile program,,
E_014,Wells Fargo & Co. fake accounts scandal,Wells Fargo employees fired over 2 million phony accounts,Wells Fargo account fraud scandal,Two Million Phony Accounts,
E_015,Samsung's exploding phone,Galaxy Note 7 Kept Exploding ,samsung galaxy note 7,samsung cell phone explosion,
E_016,Microsoft Corp buys LinkedIn for $26.2 billion,Microsoft Bought LinkedIn,Microsoft to acquire LinkedIn,LinkedIn Deal,
E_017,Bitcoin Mania,Bitcoin inflation,Bitcoin price greatly increase,,
E_018,Deloitte hit by cyber-attack revealing clients’ secret emails,deloitte email leak,hack on deloitte,deloitte suffers hack attack,
E_019,Amazon's Acquisition Of Whole Foods,whole-food deal with amazon,amazon purchase whole food,,
E_020,Microsoft's Acquisition Of GitHub,Microsoft's deal with github,Microsoft to acquire github,,
E_021,Charlie Hebdo Attack in Paris,Charlie Hebdo Attack in Paris,2015 Charlie Hebdo Attack,terrorist attack in paris,france terrorist attack
E_022,Amtrak Train Crash,Fatal Amtrak Crash in South Carolina,train collision in sc,amtrak collision in south carolina,
E_023,European Refugee Crisis,eu migrant crisis,refugee crisis in eu,,
E_024,Greek Debt Crisis,Greek government-debt crisis,,,
E_025,Trade war,trading war,,,
E_026,Oil increase,Oil rise,crude oil price rise,raw petroleum increase,
E_027,Heavy rain floods New Jersey roads,New Jersey flood,flood disaster in NJ,,
E_028,Wenchuan Earthquake,Sichuan Earthquake,,,
E_029,sichuan airline crash landing,crash landing of sichuan airline,,,
E_030,extreme cold weather,cold snow,,,
E_031,G7 meeting,G7 Summit,,,
E_032,World Cup,world cup,,,
"P_001	",Tariff increase,Customs duty increase,"Rise Tariff		",raise of tariff,
P_002,increase interest,interest increase,adjustment of interest,"	interest rate rise					","	Euribor increasase					"
P_003,Shrink the table,balance sheet,shrink Fed's balance sheet,unwind the balance sheet,
"P_004	",exchange rate adjustment,currency exchange adjustment,,,
P_005,discount increase,discount rate rise,discount increasing,increasing the discount rate,
P_006,reserve requirement ,reserve requirement ratio,,,
P_007,discount decrease,discount rate drop,discount decreasing,decreasing the discount rate,
P_008,immigration law,international student,immigration,,
P_009,OPEC policy,OPEC,,,
P_010,open market,market overt,open operation,,
P_011,government expenditure,Government spending,,,
P_012,tax rate,import tax,export tax,,
