245968	漳州市交通建设投资开发有限公司	招标人:漳州市交通建设投资开发有限公司	招标人/n/N :/x/N 漳州市/ns/Y 交通/n/Y 建设/vn/Y 投资/vn/Y 开发/v/Y 有限公司/n/Y
16765450	PETRONASCarigaliIraqHoldingB.V.	华油惠博普科技股份有限公司(以下简称“公司”、“惠博普”)于2017年8月25日披露了《关于重大经营合同中标的公告》(公告编号:HBP2017-057),公司收到PETRONASCarigaliIraqHoldingB.V.(以下简称“PCIHBV”)发来的《授标函》,确认公司为伊拉克Garraf油田三期原油井间集输EPCC项目的中标单位	华油/nz/N 惠博普/nr/N 科技股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N 、/x/N “/x/N 惠博普/nr/N ”/x/N )/x/N 于/p/N 2017/m/N 年/m/N 8/m/N 月/m/N 25/m/N 日/m/N 披露/v/N 了/ul/N 《/x/N 关于/p/N 重大/a/N 经营/vn/N 合同/a/N 中/f/N 标的/n/N 公告/n/N 》/x/N (/x/N 公告/n/N 编号/n/N :/x/N HBP2017/eng/N -/x/N 057/m/N )/x/N ,/x/N 公司/n/N 收到/v/N PETRONASCarigaliIraqHoldingB/eng/Y ./m/Y V/eng/Y ./m/Y (/x/N 以下/f/N 简称/v/N “/x/N PCIHBV/eng/N ”/x/N )/x/N 发来/v/N 的/uj/N 《/x/N 授标/v/N 函/n/N 》/x/N ,/x/N 确认/v/N 公司/n/N 为/p/N 伊拉克/nrt/N Garraf/eng/N 油田/n/N 三期/t/N 原/n/N 油井/n/N 间/f/N 集输/vn/N EPCC/eng/N 项目/n/N 的/uj/N 中标/n/N 单位/n/N
16765450	PETRONASCarigaliIraqHoldingB.V.	(1)交易对方:PETRONASCarigaliIraqHoldingB.V.	(/x/N 1/x/N )/x/N 交易/n/N 对方/n/N :/x/N PETRONASCarigaliIraqHoldingB/eng/Y ./m/Y V/eng/Y ./m/Y
16765450	PETRONASCarigaliIraqHoldingB.V.	发包方:PETRONASCarigaliIraqHoldingB.V.	发包方/n/N :/x/N PETRONASCarigaliIraqHoldingB/eng/Y ./m/Y V/eng/Y ./m/Y
1095200	江西省广播电视网络传输有限公司	北京捷成世纪科技股份有限公司(以下简称“公司”)分别于2013年8月7日、2013年10月24日发布两份重大合同公告(公告编号:2013-057、2013-075),披露公司与江西省广播电视网络传输有限公司(以下简称“江西广电网络”)签署了《江西有线高清电视和网络双向化改造项目战略合作框架协议》,与广西广播电视信息网络股份有限公司(以下简称“广西广电网络”)签署了《广西有线高清互动数字电视及网络双向化改造项目战略合作框架协议》(以下简称“两份框架协议”)	北京/ns/N 捷成/nz/N 世纪/n/N 科技股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 分别/d/N 于/p/N 2013/m/N 年/m/N 8/m/N 月/m/N 7/m/N 日/m/N 、/x/N 2013/m/N 年/m/N 10/m/N 月/m/N 24/m/N 日/m/N 发布/v/N 两份/m/N 重大/a/N 合同/a/N 公告/n/N (/x/N 公告/n/N 编号/n/N :/x/N 2013/m/N -/x/N 057/m/N 、/x/N 2013/m/N -/x/N 075/m/N )/x/N ,/x/N 披露/v/N 公司/n/N 与/p/N 江西省/ns/Y 广播电视/nt/Y 网络/n/Y 传输/vn/Y 有限公司/n/Y (/x/N 以下/f/N 简称/v/N “/x/N 江西/ns/N 广电/nz/N 网络/n/N ”/x/N )/x/N 签署/v/N 了/ul/N 《/x/N 江西/ns/N 有线/n/N 高清/nr/N 电视/n/N 和/c/N 网络/n/N 双向/n/N 化/n/N 改造/v/N 项目/n/N 战略/n/N 合作/vn/N 框架/n/N 协议/n/N 》/x/N ,/x/N 与/p/N 广西/ns/N 广播电视/nt/N 信息网络/n/N 股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 广西/ns/N 广电/nz/N 网络/n/N ”/x/N )/x/N 签署/v/N 了/ul/N 《/x/N 广西/ns/N 有线/n/N 高清/nr/N 互动/d/N 数字电视/l/N 及/c/N 网络/n/N 双向/n/N 化/n/N 改造/v/N 项目/n/N 战略/n/N 合作/vn/N 框架/n/N 协议/n/N 》/x/N (/x/N 以下/f/N 简称/v/N “/x/N 两份/m/N 框架/n/N 协议/n/N ”/x/N )/x/N
356525	太原市排水管理处	北京碧水源科技股份有限公司(以下简称“公司”)于2014年8月25日在证监会创业板指定信息披露媒体上披露了《关于中标候选人公示的提示性公告》,提示公司为太原市排水管理处晋阳污水厂一期建设项目EPC总承包项目的中标候选人	北京/ns/N 碧/nr/N 水源/n/N 科技股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 于/p/N 2014/m/N 年/m/N 8/m/N 月/m/N 25/m/N 日/m/N 在/p/N 证监会/j/N 创业板/n/N 指定/v/N 信息/n/N 披露/v/N 媒体/n/N 上/f/N 披露/v/N 了/ul/N 《/x/N 关于/p/N 中标/n/N 候选人/n/N 公示/v/N 的/uj/N 提示性/n/N 公告/n/N 》/x/N ,/x/N 提示/v/N 公司/n/N 为/p/N 太原市/ns/Y 排水/v/Y 管理处/n/Y 晋阳/ns/N 污水/n/N 厂/zg/N 一期/d/N 建设项目/n/N EPC/eng/N 总/n/N 承包/v/N 项目/n/N 的/uj/N 中标/n/N 候选人/n/N
356525	太原市排水管理处	2014年9月15日,公司收到招标人太原市排水管理处及招标代理机构中招康泰项目管理有限公司发来的《中标通知书》,确定公司为“晋阳污水厂一期建设项目EPC总承包”项目的中标人	2014/m/N 年/m/N 9/m/N 月/m/N 15/m/N 日/m/N ,/x/N 公司/n/N 收到/v/N 招标人/n/N 太原市/ns/Y 排水/v/Y 管理处/n/Y 及/c/N 招标/n/N 代理/n/N 机构/n/N 中招/j/N 康泰/nz/N 项目管理/n/N 有限公司/n/N 发来/v/N 的/uj/N 《/x/N 中标/n/N 通知书/nr/N 》/x/N ,/x/N 确定/v/N 公司/n/N 为/p/N “/x/N 晋阳/ns/N 污水/n/N 厂/zg/N 一期/d/N 建设项目/n/N EPC/eng/N 总/n/N 承包/v/N ”/x/N 项目/n/N 的/uj/N 中标人/n/N
356525	太原市排水管理处	招标人:太原市排水管理处	招标人/n/N :/x/N 太原市/ns/Y 排水/v/Y 管理处/n/Y
713242	国家电网公司	深圳海联讯科技股份有限公司(以下简称“公司”)于2013年5月13日发布了《重大合同中标提示性公告》(2013-028号),根据国家电网公司电子商务平台网(https://ecp.sgcc.com.cn)发布的国家电网公司输变电项目2013年第二批货物集中招标--通信设备集成及新建通信网设备中标公告,公告公司中标国家电网公司输变电项目2013年第二批货物集中招标--通信设备集成及新建通信网设备项目包1	深圳/ns/N 海联/ns/N 讯/ng/N 科技股份/n/N 有限公司/n/N (/x/N 以下/f/N 简称/v/N “/x/N 公司/n/N ”/x/N )/x/N 于/p/N 2013/m/N 年/m/N 5/m/N 月/m/N 13/m/N 日/m/N 发布/v/N 了/ul/N 《/x/N 重大/a/N 合同/a/N 中标/n/N 提示性/n/N 公告/n/N 》/x/N (/x/N 2013/m/N -/x/N 028/m/N 号/m/N )/x/N ,/x/N 根据/p/N 国家电网/nz/Y 公司/n/Y 电子商务/n/N 平台/n/N 网/n/N (/x/N https/eng/N :/x/N //x/N //x/N ecp/eng/N ./m/N sgcc/eng/N ./m/N com/eng/N ./m/N cn/eng/N )/x/N 发布/v/N 的/uj/N 国家电网/nz/N 公司/n/N 输变电/l/N 项目/n/N 2013/m/N 年/m/N 第二批/m/N 货物/n/N 集中/v/N 招标/n/N -/x/N -/x/N 通信/j/N 设备/vn/N 集成/v/N 及/c/N 新建/ns/N 通信网/nt/N 设备/vn/N 中标/n/N 公告/n/N ,/x/N 公告/n/N 公司/n/N 中标/n/N 国家电网/nz/N 公司/n/N 输变电/l/N 项目/n/N 2013/m/N 年/m/N 第二批/m/N 货物/n/N 集中/v/N 招标/n/N -/x/N -/x/N 通信/j/N 设备/vn/N 集成/v/N 及/c/N 新建/ns/N 通信网/nt/N 设备/vn/N 项目/n/N 包/v/N 1/m/N
713242	国家电网公司	根据国家电网公司招标管理中心发来的中标通知书,确认公司为国家电网公司输变电项目2013年第二批货物集中招标--通信设备集成及新建通信网设备项目包1	根据/p/N 国家电网/nz/Y 公司/n/Y 招标/n/N 管理中心/n/N 发来/v/N 的/uj/N 中标/n/N 通知书/nr/N ,/x/N 确认/v/N 公司/n/N 为/p/N 国家电网/nz/N 公司/n/N 输变电/l/N 项目/n/N 2013/m/N 年/m/N 第二批/m/N 货物/n/N 集中/v/N 招标/n/N -/x/N -/x/N 通信/j/N 设备/vn/N 集成/v/N 及/c/N 新建/ns/N 通信网/nt/N 设备/vn/N 项目/n/N 包/v/N 1/m/N
713242	国家电网公司	国家电网公司	国家电网/nz/Y 公司/n/Y
